"mz","rt","mca_1_l_d2o","mca_1_l_h2o","mca_1_p_d2o","mca_1_p_h2o","mca_12_l_d2o","mca_12_l_h2o","mca_12_p_d2o","mca_12_p_h2o","mca_13_l_d2o","mca_13_l_h2o","mca_13_p_d2o","mca_13_p_h2o","mca_3_l_d2o","mca_3_l_h2o","mca_3_p_d2o","mca_3_p_h2o"
"282.1","1005",47738.5755738579,78674.316440524,98526.7902071432,188182.182750903,4266.75462438923,3445.73727477456,66282.2768363128,67238.2663285007,12521.9322156272,6461.37919181458,88764.0036795745,157850.698783054,62854.9524176967,146514.233915264,63197.4635967549,154068.038440881
"282.1","1108",164947.750695332,208451.061998574,40454.3307609303,188515.4848276,29763.7361093379,11190.4496693639,62682.2365328278,55780.6663845481,35096.043151464,87061.0010337909,5833.28209200028,419937.130283199,313367.658815355,705183.155384768,5588.60311626074,33654.8611665207
"282.1","841",95809.6032189411,209268.097033161,40324.8553221493,177863.038558256,8328.54579095023,2244.64848206225,52714.9910818141,19389.0503449336,113518.172802513,938.877508434593,18654.4884296707,100978.027252734,48694.1693316439,546587.70863203,51955.8218134953,132577.749037522
"282.3","2448",126448.720476378,132406.988104838,131751.553672984,136954.731005858,69626.3152299225,67742.0029296888,96353.8189868949,80976.8524035651,138848.939277345,146018.379197198,107389.231090199,263415.480312504,152217.46401367,123846.749677733,66419.0831977367,103470.421628992
"282.2","240",253623.180423678,100026.659419629,1052704.21079687,15947.7023056789,62331.7511979168,93203.414851262,81901.8358097957,4885.16828307252,911669.966421273,445775.253398437,0,93234.8230461913,496604.638337403,169284.577197876,10971.2869219138,3708.66352351639
"283.3","2516",75569.5374884013,121565.015072632,59535.7325825517,69609.7801507568,25827.1766921991,25525.2849313225,36223.5795996098,40921.3066850292,36844.853526563,63594.4796374513,56806.9640709673,148375.855492901,54124.5204451004,61373.9675667664,22773.5034407808,47855.3116186524
"283.2","99",97118.9094744141,33466.2166442871,78127.1004309082,16967.3498967878,92729.8156401976,263438.435050964,67120.7158161617,73090.1744506562,179933.425700763,541069.39209565,18413.3553643206,123985.587544352,74262.1476757812,78528.1721431641,104944.392252256,39523.3682452658
"284.1","201",103198.486457201,155382.577575073,386046.958189655,34821.9091246449,1631.16312887148,2170.77384558682,338.445792523097,42248.3916764323,304646.840966797,237021.132395834,4789.58195365607,111227.423982205,439146.540987724,971439.617159599,54837.4110243056,111344.569628906
"284.1","77",112562.040260315,61182.8807363282,46916.1211566162,96268.6085884094,30469.5517881423,59906.0524946447,15605.1024285449,16250.5001441009,186469.642122325,208603.542861647,3490.6751233814,494534.574178418,172851.685599926,27760.4407373619,957.076388317586,33929.7423767853
"284.3","2525",94959.9747746376,103482.855361328,115892.968042744,113538.342903018,74564.6040609385,73830.440943751,74178.053840626,69935.9518359384,103445.700714393,106223.939000526,104518.966274999,144851.780499134,105510.950084135,112866.631653645,89685.608195801,111824.699072641
"284.3","2071",264831.139991979,285802.308303218,351380.240924476,439599.066664478,68690.2851719451,81175.3653450505,56948.2225838213,56226.3516462056,225090.485784041,304166.220421004,368033.468509111,568815.868602766,280212.556414928,220696.479680526,463641.624047316,352239.71819445
"284.3","2624",160651.053595704,220075.321156754,196373.089946446,138347.54188193,51390.7956587117,47660.7013710158,48795.9390407884,49938.4018472961,190954.701538253,199411.288870114,200943.143057619,153691.804078676,195671.13150265,141459.217168645,134360.418446183,129463.495382811
"285.1","908",137014.491250196,139575.294448243,33742.1473947144,114411.672387226,3080.94129429527,3214.44403638352,7672.55500171204,6098.25265047468,189690.927633656,229385.886709571,6487.3231292633,2969929.48485,639987.844246873,649143.163353518,9687.55732730262,1996343.75473558
"285.1","2122",134052.847399091,139015.735151909,23547.2618275799,40792.6972221676,13948.0732715357,13170.3513813092,7774.47093040266,4271.83959408123,30603.047908314,77739.0456394048,20552.2526595706,71485.3249154129,109344.40034912,98825.5955186464,4401.56206213486,11320.8414660045
"285.3","2530",50827.2879236831,47318.0003107244,25067.888609745,24348.6374591529,28620.8353140696,31996.1067361116,32507.1871585546,24669.8258074242,40023.6617360768,35543.7365241116,23919.3949034962,29951.0597417602,42499.1843979972,48746.0436117911,22680.9667840786,26798.4324730501
"285.3","2071",59274.9770115446,59914.5337967933,74820.6610112841,93872.146821492,0,0,0,0,47897.1669015069,64299.2705957026,79669.0940787754,124028.817657877,60873.9730197478,46443.4436063637,101024.776247371,78015.2145822494
"286.1","622",11745862.1772116,24955038.1602403,215863.56320625,4268086.88726249,199351.196222957,135607.279096875,396120.204674998,593965.47286758,5132035.81460334,4658212.7328245,126825.102975586,14136145.541286,11274819.2391,47266520.3544,89283.0430945768,16930692.7614001
"286.1","869",2592693.89857265,5328612.88087498,84341.4354101562,656667.644850002,8047.29962606246,5530.81922900016,73544.9452848635,65026.7889201474,267543.076064061,146447.86833149,3395.69539180352,1642744.28655704,2027399.77170703,8527868.41196248,25849.3438179017,1119395.01947344
"286.3","2017",74153.2306860345,87763.6741956619,32144.4277572081,27661.796195901,26362.6294435939,28072.2165852712,18263.80498125,16372.4770354757,7401.83200496156,7256.25277480281,4380.86326347303,4809.85068685965,117521.644083254,168086.780761145,52964.9583105477,35318.5429320235
"287.1","622",5691512.98662261,4845843.67301681,74762.8242288909,760397.914961717,44842.7099715822,31402.465471875,80644.3185562495,119595.109960547,4960671.2685,880103.646431787,27790.4401160888,2673601.3075646,4770032.1864,9869056.04655001,22879.6722623817,3185936.40148595
"287.1","870",1044906.69632343,972873.579687888,67404.4587738282,125705.257407422,9034.41807815544,7374.37401969594,12315.9541910116,12331.9725829928,234534.105665283,31068.1528088187,2772.87795751539,309229.4055542,846486.02439492,1680350.07673828,13090.7877731746,211252.944148243
"287.2","2516",148269.266403809,138836.967141113,29855.989491005,20189.2040087896,15790.9317929077,9599.38092849742,6170.73193163718,13746.6448928833,1493.02435893054,9011.94655101653,52718.2506578063,8479.73409796543,214422.589419709,352269.16628997,49634.9604731028,61246.5375456237
"287.1","95",17000.0270222879,19052.1816404137,47134.5102093505,13306.0749851251,151107.61304707,150973.484698017,20952.7650379745,29461.297027349,197177.332345145,128481.778104074,886.649732176572,246742.104077892,22886.4006248831,34760.3273427285,15580.1213327051,16302.6784263782
"288.1","231",57974.6945957729,52017.2439907373,70885.5904513887,114857.133428819,34274.5432694655,40435.2877640788,86924.0004952566,76123.6515904017,122055.553321875,129922.925715144,5647.92078647172,205191.619657118,228588.211035156,193135.275681424,189725.321452986,163188.766147461
"288.1","622",3379866.70436448,566086.846005106,90765.0649863284,92495.3961972654,7277.8798427856,4318.87048699715,9622.83847719513,14681.0821969249,4683022.05436874,112236.219342322,1919.8465824379,315335.595621431,1994069.2963116,1226497.4793375,10522.9929982995,368897.665137892
"288.1","88",38445.8356279191,20692.1884470838,47755.0812565104,37733.3988943142,23174.5119005585,23036.0012111664,23348.0628650391,10172.0218371407,108131.013506208,19115.7883755901,2828.44852726338,21236.1159745646,18457.0142195946,15995.3001358701,53490.7879614258,136356.365308008
"288.3","1856",233144.699664121,247056.390421975,28290.4773259437,26682.3372241871,288625.246582863,522500.449200772,347772.598235695,1801177.83193361,266798.314860893,280871.808117537,28043.2772081591,28113.2908992602,282652.665057718,397522.738058083,9188.92906714285,28595.0342729386
"289.2","867",503068.610809797,4178.25235989994,217979.197503222,2067.8838324705,935.79946887447,1474.94460362753,1645.78413863004,1789.06072669276,174657.290269775,52479.7790771485,2252.86976504234,1922.15486822472,264463.268890429,159668.974509961,21870.2645302416,26940.5158874511
"289.3","1856",46615.2878616194,49024.7358862859,7709.55480021857,6673.25459970007,55870.9593844881,98050.7202683881,66834.9221526821,328654.132168185,52150.3191669498,54220.2071139803,7546.33009188834,7695.81142402373,55692.8505628967,78059.3599661531,3688.66498360348,7378.82389143614
"290","489",113960.432132056,129928.04949414,22023.6913620371,18847.5066414286,203941.696066028,317679.62084961,35856.283975586,46296.1881484377,131698.533818044,135473.420250756,0,25960.1609460809,111905.781736328,118406.2790625,46838.9258728448,25164.6602828449
"290","230",201411.377373839,210125.140741374,49531.3335917969,11780.50516145,239799.957755127,184447.947371521,13857.3835904337,8844.47579526433,121884.263819304,126681.631572876,154.830207801683,8204.83792854014,278425.712700639,216098.073955697,66106.1084277344,56208.7287036132
"290","396",152254.370895996,172244.817490106,27042.8936298408,32786.2232236474,171671.382285854,260555.689653452,11219.3255095667,15095.9829812164,195212.9111018,210284.604078948,657.897542180032,46113.2085552693,178971.223779825,215891.295860073,5442.72681122975,39061.9313299386
"290.3","1826",15433.6505111089,16623.1181060028,13701.3678807873,14083.8585964232,27324.2896575165,29180.9217312241,26305.5808187485,32175.0060269563,16028.7925950312,16911.6935648344,14270.182881992,15308.8643969724,16588.12631193,19497.8587332917,26313.5438307862,15637.5075597654
"290.8","40",1679818.63240773,2060468.32826644,2063302.22679709,1436024.68987227,739279.286373215,1154445.6750819,1612018.29542948,1851454.26748244,1275334.3093674,1526780.51271999,400471.19426239,835701.969348034,2271798.82569039,2560130.74025072,1819913.00808078,1888604.04799645
"291","735",95185.5469704864,110817.194635417,26645.2958589846,30355.6417556396,80673.5368103026,83932.7989599606,36317.9119356283,39779.9569102127,46242.3642453707,73552.7324522568,0,56847.2782801701,90977.1794069257,115176.257836371,48382.205213717,54153.3533118614
"291.2","2249",92914.9463722231,93957.135092163,96811.2254944923,97295.6410495934,135835.107336422,130369.16282959,119708.976705936,114700.719095328,81042.2413260188,90380.3610825326,113830.823609472,95782.4126687238,86625.2847035296,77724.9144933541,154712.854875703,94360.2910037377
"291.2","857",417109.130618556,1703.31395216585,156087.64966875,24001.172352246,44608.7727633007,4036.42315478355,2542.08768005536,2541.60931211898,123990.400488281,1203.7491421354,39733.3589638182,817.839099780792,107783.982730811,100029.272891069,37245.9283105956,1186.31518443411
"291.1","1442",27064.5832681768,29656.06647968,41324.2357222802,46732.2197556718,11933.4862619599,11826.6948669579,31677.1079494066,25887.4231634995,134264.213718076,38934.0351393481,6389.88447788076,82572.8446556682,35080.2080709329,55615.6898299892,69715.0352163457,79038.9770235194
"291.8","40",58170.3772610196,71197.7722938122,73378.3678871752,51574.5010746626,28363.9496804874,38924.2985853419,54961.9369677734,64876.2866271973,36056.041219066,52781.3370857932,15133.4011945724,29079.1249934526,78307.7460538251,86501.1278086256,65594.0120108165,65129.8335940685
"292.1","886",84897.474553125,109294.961793683,134706.176295117,155877.434012075,2624.5541574014,3190.02013772464,12912.5106223031,51378.0135846678,57704.6626763281,156469.595803125,54248.1429514725,485493.09710625,478051.702941422,815920.506208685,21678.4232568359,1444792.45450421
"292.2","97",254703.259711304,148163.019566803,15625.5111603145,61761.8001726562,67229.0365773607,63487.5651056174,51251.0867859375,32853.066405507,63953.6501888021,20589.9788423511,1516.30940930221,46806.8149540329,228192.443667297,52764.258507027,17531.9261698698,6272.23261361945
"292.8","40",497681.32097168,577780.300638761,580770.974293372,430408.284293268,208673.168021603,330429.521584917,411867.64871504,475847.356671161,386525.623316385,434297.686912852,116408.046192877,320145.904367898,658746.557084218,725277.135026431,511405.211442022,603261.665384575
"293.2","1799",53869.5860507813,146187.766363874,74369.0615515138,47408.0188513177,38775.5332409663,31242.5211975097,56482.7685278327,63784.0250024415,43267.046641146,23723.3798905009,23842.8643175172,75687.0903611757,365596.777568169,2033810.83259998,37752.1384878659,127817.140916289
"293.2","2525",49981.7694584422,50619.5032682476,54814.2168003345,28437.321534699,29586.2204960216,22162.2129354387,29637.2122233997,9175.00152051263,193058.33329949,312420.044844842,6322.70807727246,119553.600681234,75621.0637781017,88013.5123019265,26015.009619945,12252.1273662023
"293.2","2121",703086.357983571,701595.963003847,462525.818421008,570337.880883888,195472.468965459,162103.754035492,336970.301661072,460759.413792561,1059602.09753952,351489.966145639,76141.4970776366,1280628.79296353,399221.793697358,288325.759864663,68730.1537297845,67284.0734268841
"294.2","105",187592.203037109,160124.977200586,66033.0506931715,332169.029952539,47446.2245079627,48884.233686007,124573.234599891,345104.750455664,158916.889214648,93920.0630419921,9661.72306362843,794677.408903125,301049.251958383,717503.522834179,51632.2334208348,369920.041349487
"294.2","2120",149271.029951939,145858.651090575,95695.2734017919,112975.576508786,41646.8789777349,34891.9608021664,68946.3290137465,92256.5364042641,235527.915772706,74901.8088023447,25998.7761533207,251907.335030511,90768.5199641397,63524.6684728184,16443.4236951314,15643.640905838
"294.2","2217",83382.8382040228,84494.7441109044,75571.696379473,77395.5289331819,35494.4913527348,31704.7551527348,28470.3005948632,29539.4933723532,78895.2338967915,79878.057861328,78236.5589379862,79093.466155474,78813.6321304343,72261.8823279929,41857.6837728883,76007.1406451958
"294.9","40",64627.6156987729,67698.3302779223,75959.0690070907,54629.4765793245,25219.3971994385,35486.2697606605,48723.0676395831,65135.196602624,49651.5145679559,53147.4783318424,20234.1814051125,50702.467257226,82309.5505044001,84782.7905996306,138672.217161016,79402.0641714079
"295.2","2058",240884.008715628,238658.250823981,248054.64773484,245105.491282034,281941.156139546,275195.424601298,274122.523035599,267625.567435124,228035.745234372,230985.514249415,242641.636931049,241536.123450623,229409.699784394,331994.695296829,284843.713989768,244267.047503611
"295.2","1988",144058.763887938,139908.009841701,141167.659972231,145510.938965625,170762.911973438,165082.07866875,161726.493478127,166465.232671288,147502.998121877,149892.627149962,154118.028918746,143761.322625293,138398.757496031,137778.042542723,179357.721081155,142650.867824709
"295.2","74",58790.4221451635,48611.9010161116,20314.166047841,38457.4055410767,76904.4615759042,61883.9364979248,59680.3253833008,66384.2451445313,68376.1464484406,58217.4304283076,5929.92164210718,146762.013351563,68800.1228123891,126665.709399414,50840.6258963013,70459.5746157074
"295.2","1904",279010.987913818,279353.920008544,283506.512976379,284886.742759554,345493.595484008,340121.558095098,353431.185794222,345455.198012698,278494.182226409,277777.295154419,276581.142093889,293261.333043826,277787.691672585,259416.751226348,357876.990186767,285197.288767549
"296.1","45",326412.848776484,279681.722899725,717337.618526877,96294.5116743403,105140.208782373,118668.351882477,75575.2391279297,59711.0661213684,183104.132838489,258005.320160261,44569.5176871922,508486.262254904,69461.9669426163,162717.409772525,812877.42924717,801758.831802979
"296.3","2392",481012.237715608,564324.025366385,234824.844191666,220122.345489813,64594.1239195177,58573.2172428836,95635.341312443,97516.0892578127,261382.960945588,308449.419355468,64056.2237973643,329150.16018837,404399.162218356,348661.8722818,27073.013315506,38108.823046876
"296.2","2058",45188.1395753912,48108.427833985,48724.540233398,47011.0086375006,53017.675249524,49133.6449483244,53204.5272518925,52585.905366753,46724.6854693354,47077.0235939571,49533.1620499326,49251.0006769039,45922.5258628059,43202.0395769715,55543.077914429,47240.9780664546
"296.1","825",870351.727031246,1764412.46120192,349211.533296275,109009.794219501,10154.598365372,5717.89208498547,11421.7732582983,18901.0835777357,236336.227117384,39603.1798039364,316.434372157462,124497.669332745,1376670.3319875,2640196.946475,110202.270574219,662175.088774036
"296.2","1905",57859.3136177123,55089.5125903452,58678.4850701829,56594.6842132965,72616.7796008693,69093.4167620098,70744.9990838818,68440.3613331658,56286.3119372131,58702.9991125488,58050.1592528919,57553.2741754961,55033.183112802,53057.7566991631,71885.9665405271,57284.267931408
"297.1","2116",45821.9012077332,46020.7149915076,58700.4310606385,56792.3415045151,77035.5885063001,69391.8788203117,63967.1306872541,62789.2141029779,53209.9904449226,53449.2252305604,93003.8984330727,54920.5719354474,49762.4550971919,48224.1345976371,96196.2346824648,64535.2988978561
"297.1","2269",56654.5537045907,49180.2344277179,57951.977595701,57001.1143930659,69452.1723515634,63759.7500297357,52236.9331553651,53628.2975669673,56080.9676474116,56186.9768261726,138211.746156616,60678.2112995912,55092.2437757807,51688.9904266384,92748.7648402383,70773.6661480694
"297.1","2393",96686.2054655796,89619.3266214673,90560.7460041048,91759.2157347109,68983.3535345476,61595.0385498062,58663.8159510041,65158.8990161142,72714.9308722669,78681.5482655409,201416.076567993,124261.703884274,85225.8435949173,86051.2644996667,96727.1237279312,98240.9569015502
"297.1","45",56946.2081809666,21306.2964586898,79631.9630030407,4744.05150758262,55524.4617952381,40736.5101796557,7431.77719268654,2275.06705952107,135848.940585124,50428.7751196289,22096.6022559852,45139.965421309,12889.0639749521,32881.513370839,107532.528098373,82471.304447937
"297.1","825",392369.541296573,327359.660613731,371945.972492579,24658.7288641573,3511.43974924424,1829.5173149326,3571.12957025511,4921.88779343941,187846.782326097,16941.9273633145,494.006777808964,31291.7005941678,573237.979178186,510586.46716875,121653.422574609,125873.743861929
"297.2","2337",78811.2364078135,81737.6128829979,77500.3943238832,78010.1334237693,117747.378932193,114911.05908783,105081.841040187,101104.644534912,74098.1595382711,71135.1243237316,96767.2463864113,81284.5023582481,77190.9573914053,82082.9120350062,132739.417327878,79194.2556546043
"298.1","591",33686371.3970193,65866668.4569232,752194.254571067,15706381.5183893,1972966.06847656,1576946.71884015,2793963.47277777,5631880.15622396,7880098.95674998,10535872.0359375,237340.668094201,39486598.4271634,47372518.8017309,158997104.330624,305364.714661459,10391081.0230528
"298.1","196",548720.102120655,694177.013392838,115593.977961077,307126.671485321,120133.851126302,88159.8445263672,293952.087074497,162110.987601144,518161.643893229,1300342.98417969,15517.623374674,1374812.54655649,489020.388212801,2579929.46503832,2704.33716584929,53689.520070339
"298.3","2082",236883.109486608,341423.562469615,367099.572591143,438229.935624998,624.933619784522,0,780.250426879106,607.6887679763,330354.31373535,315109.136614588,500663.741014006,606922.955512148,345091.5283507,329529.655564119,488773.880477426,446520.458693573
"299.1","590",10279347.8971875,13156940.3341587,284362.062011719,3065018.11543718,385650.948147787,313316.670166767,538967.605876735,1059193.48895833,4060301.80633414,2111294.64381761,51147.5543460938,8110405.48197114,18075841.6471153,36601727.4373659,181216.875290948,2010475.85465444
"299.2","2217",95218.0281833802,101301.540186448,93265.1634690859,96630.8247063448,99619.9219565231,94671.9014979633,85300.1607463285,83786.6208518462,90860.3559309732,94039.3929485829,93874.1449186865,94200.1096234157,90674.9162814357,74650.8883829541,114615.338818361,95610.4894979882
"299.3","2107",66892.6371281958,69504.0530688212,82504.6555246304,72408.3301680927,110864.460091553,107999.780184274,112602.090355224,109257.124479554,67068.8544381286,66602.556726196,80194.1070380582,134943.430935622,68361.2907462952,65981.87154763,115703.553912964,104133.920468749
"299.3","1954",39260.2578683211,39323.0779422875,44570.2884539068,43288.7394520016,20130.5637271497,20096.3520709678,23722.6851955078,27684.8528642576,38567.6034807135,40563.6725308594,1215123.09539316,40951.8919600592,35872.7735892182,37770.1448632802,33579.8896300786,46370.7325604254
"300.2","628",1066228.63052084,2356794.39331055,294354.288315055,253634.661873632,37778.1779552748,27861.0202085798,193086.549282601,323276.031772085,445031.393883322,442720.221545138,10351.9745432951,780261.272586495,2215722.87125001,13693304.6556428,169432.262588266,267136.72472168
"300.2","347",2084855.80681818,2105047.23013494,773568.350852273,2442335.01114258,803983.635146487,627372.35888327,2612286.98550552,3090484.48931818,111805.469204154,111941.331963298,8674.85615504587,233724.236056035,1230548.17732759,1314102.40926724,363894.527445312,616934.345390624
"300.1","48",77974.1967272684,101994.704693801,54204.2347809115,10653.5153844466,146882.073653183,150528.597135315,30718.729460907,32751.6888402381,228737.043178253,151427.301590299,14566.1501256539,42858.2913857644,62047.1616641611,96126.2273240844,91421.8657164997,20098.320241665
"300.2","846",546401.888816818,1756078.60864955,230668.274574652,445350.110189545,400326.38465625,355941.262754296,34456.7011761712,436705.574247297,90370.0481605903,168815.142144097,11151.9832726646,991600.879000778,936659.193231909,4146330.25761005,211100.129671876,304828.681245117
"301.1","80",338576.564913941,304432.451478882,37239.006354317,73083.2001951599,84961.4901208496,80565.4303729248,29702.1564304186,60077.7073065185,274200.000958702,194963.248273026,2881.28365189675,60600.1481402853,271583.936728516,300401.499017944,93098.7548485267,39730.0958640986
"301.1","2278",261341.657025992,265424.438388865,266461.269176951,268544.500641208,401436.662362495,363973.471041167,346524.646462505,375104.799635414,234698.430723408,242063.190230271,304395.722584887,291481.184483926,236278.945559183,222631.193482573,494849.477432808,275014.76020414
"301.2","628",504626.223300781,466731.699800721,407932.720458983,51630.3833646971,10235.3630563246,8728.82094945625,40406.2133741314,65494.9027707613,491797.990175781,96205.5979644095,1945.61198867834,165732.905107759,859595.983377406,2839010.66983928,197622.775687081,56465.5797949217
"301.1","1927",49770.9669621094,46618.9151115412,53698.706333999,51936.0989923828,72429.1332032787,66640.0764193718,63315.0375257805,60039.1632041932,41529.6844503258,48850.8593318489,49514.497232895,43798.4627952571,42555.6817121648,33230.3918652028,77726.4351988212,45042.8916856379
"301.2","345",522466.088068181,407313.668815696,270504.75106534,464699.195148926,166481.925958807,130078.502004681,500560.416272978,585137.178623935,11235.2848598106,0,4233.49527184537,1666.46735396626,292867.715818966,193760.568356489,156189.034350142,124660.417399292
"301.2","2392",569879.102962648,665678.880827621,262479.99084961,238211.593648688,229891.828125,210183.015721436,359916.324232979,376464.765446778,290719.72902649,336510.105562504,60423.6168084716,357565.834076386,440610.831907655,384529.602392579,96554.6243875124,47163.1109802258
"301.2","846",281407.962618037,345573.319796316,96737.2356575524,90025.8783565621,87080.0465015625,71705.218498242,7522.87759917977,87751.9890421875,86029.1525446532,41196.9276557616,6124.66559815647,198354.568809374,412897.114831321,830853.160488274,139682.32284668,62652.7587918922
"302","50",91479.5825384256,125280.266292831,280676.941333923,113313.707310333,85020.5818052673,93489.8856170654,273040.2811203,129488.991006656,106701.584012402,72294.0715672303,46329.8227675781,88720.3033918762,80560.3976656827,101089.779310833,352053.092928772,114736.476005402
"302.1","2277",48394.4496054313,48039.514463689,48609.2824510249,49326.2954792681,73449.6367292652,66731.1196655275,63067.5570815807,69005.4660503466,43907.9698256832,45368.1797480648,57688.9742762642,51540.9545147238,43667.2547749519,40796.9871270101,90092.7945838346,48724.3639392562
"302.2","585",3957838.47685097,49408.6087252103,388607.485869141,8521.3097136952,2514.31476640058,1777.97009423202,7442.81591467325,10760.8771711425,4293195.1046124,0,10234.7912995361,1190.28025314134,3759990.8326983,152702.166306716,176211.421137152,53801.1885414632
"302.2","291",2315378.7234375,1635283.63755301,1342404.62792969,3897702.35534484,213876.313690733,182072.262886719,1519843.36054687,2841776.92946875,634835.7615625,249912.80296875,36013.5278274373,1574811.23608125,2765966.75944445,5902609.59888891,771167.42502155,2529467.11163793
"302.3","1898",55718.6729589846,55432.3425820306,51507.9890002443,52884.7021546875,72061.787553177,78658.5745681001,76318.7564768557,75315.462121875,57331.6057828132,55105.9584073583,92934.8043028837,53638.1718679689,59464.3514092074,54008.7055207702,66236.4455061404,55133.0274278322
"303","1123",718549.131093757,450181.460721261,57582.192344532,338850.094795107,1282387.20351254,1877298.43196896,174756.667028028,34923.0685203635,15123.8199838917,15821.7987169039,115715.848019079,236260.452380274,1525953.06191981,677762.803850095,60277.4152944102,210384.561712501
"303.2","292",555140.290325057,405865.200212402,328308.683406313,746539.046379313,58278.1204687501,53476.1294827882,304337.303867187,561182.076622984,132362.30976416,191104.238577706,15187.0732651087,306656.156956641,683162.074469867,1268280.29037389,409371.086508621,498366.612351563
"303.1","74",149721.135986938,154560.152501221,61612.7708419667,45142.6926360288,71503.6253794384,67009.3207941596,140579.8467659,10596.4509528309,395852.84125893,319265.28089774,50353.4266276041,97832.1816722041,148434.948138905,217682.879127463,69195.8892449706,58107.5871498174
"303.2","582",4248201.23816108,64819.1244914067,547069.500642277,9886.22876606552,32460.0833584407,25246.0762111631,22498.1406075741,22174.2942716511,4275330.70139421,360407.395815972,14756.6787425787,33695.8698221193,2795310.331125,187527.441580665,175522.599407328,50051.8400953125
"303.2","2452",39669.8200632305,62435.6714541393,42484.2533212772,57251.9590148431,35275.8035810853,29216.7500179684,130701.775247217,88235.0544312265,35463.1377645552,63158.8205712519,35881.7958769733,152552.844416432,48680.7484432843,46227.9575138171,30122.3958308647,21270.3119948387
"304.1","48",51183.1729389953,40381.7171959653,77521.9678031059,56736.1841466522,55312.6210327148,38354.0745096983,71270.9661625488,60170.7947239802,225595.157332764,78546.4805236816,17029.2753490357,187289.274906235,48040.2222640137,48677.353839987,62397.6347264099,48079.5317452567
"304.1","1122",102846.878196024,68141.6817913813,156493.304596875,55837.2393402096,181627.021475423,267502.91787954,29496.9922998048,12347.890311279,4167.47959663919,4440.0526629107,159442.851156683,39621.3077879688,229861.196147904,125821.972290979,39153.8829556275,36894.7800490157
"304.2","292",111607.983019264,54066.9166538558,101367.206447518,97837.7765382546,5337.84166496643,4122.60982364213,42666.2169882812,73900.0472782258,30443.1916681597,1105.93931724906,6651.98286902987,37683.568423462,173552.270183455,171262.610234724,293938.236530172,66972.2489160157
"304.3","1874",18636.5649461609,18432.1105266405,25179.4773282349,23485.1313664625,30689.8117241751,36627.8884250982,25474.5018485202,9805.34103730221,17100.5063986956,21329.146652298,19697.1469113443,24786.0130512998,18564.8652798445,19886.6122463063,28199.7887890626,23846.7481649778
"305.1","54",26988.6210125178,124571.388155273,33763.4365957427,34419.7733982631,100327.744528347,19682.1331157892,14143.7637687544,20811.8549452348,155805.484881977,101707.298387823,7342.98253046949,30631.0236434992,40255.2214575635,33005.3142083767,85149.7830322266,22825.0829040677
"306.2","918",185001.837064035,170333.836314174,185305.174661458,258485.090976562,149131.88240217,126903.374385776,237229.255977959,679184.771111109,142594.374168648,132294.679892579,57424.8471843754,848294.0575875,1292589.205425,201419.163567708,847259.599272838,243245.422584634
"306.1","125",24201.08732555,42753.1741973876,15977.5569938142,21719.0638291168,1146.37112431038,260.324241201125,26501.5000517273,1118.38772737926,119100.383878864,7739.65545326395,23531.817836468,60776.081629486,23690.520363455,130985.30709375,29836.2471035156,35946.5674148437
"307.1","50",1271013.09534921,1275056.86058938,125279.834983521,162855.930292303,4877067.49736043,4372587.92569687,292134.833590464,549007.754985894,475854.119310819,931459.972099422,14863.4079982124,55250.5409840459,2466884.00631465,2718182.45486738,372760.564300232,395476.850408363
"307","734",68624.7080457901,80782.5166175254,15797.7539658345,22132.0410356689,11191.1686833846,14311.4930747073,6920.76096627315,7643.23585795183,35539.771142226,51555.3127549912,0,44185.0690217284,70120.0217352762,80128.6833843524,5598.93687875513,52809.620940194
"307.2","859",108384.396406028,53576.5211622069,86534.4257627803,118133.993055373,19738.0283857145,20365.0661378101,43413.3829332558,356073.722307693,15177.8791677124,11613.8714129311,41900.5910381835,86494.1545453125,137375.034648925,222398.804947852,91636.0731445309,193532.678709962
"307.2","161",105155.272313232,143786.617858301,23460.2832242135,23592.3422827148,39333.7203095215,39052.8689825204,13100.7060301749,12194.6288585951,58342.8081815045,78486.0477117187,2200.44989027664,58272.6468062988,142225.125436073,220262.510786133,16462.5380297531,40121.3034329223
"308.1","50",190509.946573949,164252.300854143,14669.8507431371,32074.1617809528,522684.539549968,474073.281323438,38558.3752443604,137976.637863186,208598.323019644,187704.206373948,8410.35840165282,4621.64340818825,506774.212774784,273950.0392765,54208.8726268799,22104.4816586323
"308.1","2007",166024.233182813,357944.629691598,15208.6354209172,20267.7793043669,492.255683489298,406.679510638899,201.112107664324,159.237675597001,140683.440192186,29262.1667909977,69224.6602933605,202712.611199995,217631.801148588,3470317.57365004,24063.6280645017,2970953.34299294
"308.1","854",924544.376514847,687146.969903098,10542.6358276016,13447.8351940847,55967.7424978297,63756.1135625753,7065.34073510252,43990.0164290208,80674.9430625003,7900.94167395516,1177.11071754946,2304.72777637647,4200415.54689301,6445839.23229373,38116.0437045524,64189.1910380836
"309.1","49",148079.95010376,188931.177724046,45018.442064209,41947.6753319373,432488.922390137,378456.1134375,60845.4648272461,85236.930860314,129677.739354597,142757.410040625,16566.6959931635,99377.909892334,294399.52372306,175678.788377623,98960.3257745361,79024.2252938965
"309.2","2341",123679.449632263,122388.608626328,111681.534707105,110855.551877136,261172.355015622,243265.720009155,228883.937389608,244177.478623353,96748.9373976551,96052.5312975313,146713.248783871,122960.062629318,104826.787510529,124205.053358205,346153.470398246,119100.941903
