"mz","rt","mca_1_l_d2o","mca_1_l_h2o","mca_1_p_d2o","mca_1_p_h2o","mca_12_l_d2o","mca_12_l_h2o","mca_12_p_d2o","mca_12_p_h2o","mca_13_l_d2o","mca_13_l_h2o","mca_13_p_d2o","mca_13_p_h2o","mca_3_l_d2o","mca_3_l_h2o","mca_3_p_d2o","mca_3_p_h2o"
"87","38",133134.375481306,46926.6055445584,55982.9561102295,148462.393091797,127579.545045943,98511.2472761337,62904.5398494466,88811.6686160496,130092.09417632,94167.6260653409,68866.362744206,454247.142860184,96807.2744376092,59333.6367504605,52222.950566319,162579.188489816
"88","47",30397.6698371582,23994.6817238525,2594.09146696248,26599.8970020839,46921.4158190918,49860.5379651751,10414.059210432,24829.7932725869,48646.5095853424,29318.2050343831,2207.49366801715,69558.3162316132,13219.2224357824,1027.79275632181,28204.922279892,28097.4905977689
"89","56",55943.6619315769,92360.5959804899,42683.2671148682,13004.1906717772,21496.4308598569,33083.0602891323,34001.3351638516,64235.0527424761,27319.1950014648,10280.189131045,5231.02173991634,759.907677664978,22525.1086458156,32226.7647238498,80007.1430158343,3442.61751622353
"95.1","2503",27984.0183202598,35454.0537896193,20547.9607911677,20784.8003942866,18379.4887827025,19469.4244892576,25225.9144343259,23011.8963796235,22469.2080497413,26768.9291379046,24052.0106093216,32819.1976000968,33414.9655584456,29580.9722050547,19422.3157639891,19853.7303398891
"97.1","2503",17582.5231365139,22713.9978757817,17540.0884558101,17174.4480687333,12575.6751984835,11605.5781282737,18409.2546459545,15190.7375259265,17687.2329895022,21190.3966695235,15794.2980700022,22517.5395434564,22526.0634441167,20477.4725476949,12561.5709265137,12451.4782280728
"99","2781",200376.923371873,222762.843849159,173406.322769306,171121.548331936,254350.065649419,231100.198185762,223662.140895181,215228.240460068,174912.31585781,177732.637462248,163693.330980467,163300.833257588,184345.977798636,183230.534481808,279925.951822914,172516.549914555
"99","53",252833.270995789,404755.298084106,336325.088704356,373854.781533592,93013.6736628606,159453.19463562,237142.121037598,419971.443128078,143848.50661154,91985.5354805324,44065.4825355669,52537.1660837069,139051.273420516,102781.044589233,131259.316577812,26639.776902882
"100","2781",218000.60626972,239696.40935156,183734.264865911,180607.124892483,260257.665177413,249430.489965816,231296.879308267,219528.375980901,181220.166302209,194014.20217031,172521.679124998,172953.24189148,195379.151803421,195713.653364442,287941.543111977,180730.771832815
"101","2782",77475.6072663567,87403.6578177586,67955.2399765251,68800.2824140148,99179.1513155128,93900.7595415574,87100.2396737219,84377.976199001,70200.2368781242,72367.5987594823,63946.0055619931,65483.2770339105,72265.4055492199,72830.8706488375,113571.461451937,66865.4018546254
"101","56",37869.6074733665,47699.5117683549,10593.9305292916,102195.698684235,28976.4088703502,24720.3648363787,11327.7010021566,11701.6034156494,26740.8336202382,78750.7502621593,907.540401031808,167740.585884705,43617.5613098144,39224.5099168238,10356.1933919899,68716.8511212954
