"metabolite","mean","sd"
"acutumidine",0.00220554193611986,0.00157024885969023
"acutumine",0.00137533712930734,0.00124635825105317
"coclaurine",0.0302036879863206,0.0162354659907445
"methylcoclaurine",0.003391540851722,0.0013964965447574
"norcoclaurine",0.0180259915335416,0.00664182973422243
"reticuline",0.00144703427367314,0.00171037947523775
