"mz","rt","sample_name","into","plant_id","day","organ","feed"
183.1,1200,"mca_1_l_d2o",42510.0352156573,"1",5,"l","d2o"
184.1,49,"mca_1_l_d2o",300893.993996138,"1",5,"l","d2o"
185,2781,"mca_1_l_d2o",140590.123486083,"1",5,"l","d2o"
185,164,"mca_1_l_d2o",286551.726215278,"1",5,"l","d2o"
185,43,"mca_1_l_d2o",143696.682987256,"1",5,"l","d2o"
186,44,"mca_1_l_d2o",36778.0671645996,"1",5,"l","d2o"
187,49,"mca_1_l_d2o",65888.8414094971,"1",5,"l","d2o"
188.1,75,"mca_1_l_d2o",110507.169364014,"1",5,"l","d2o"
188.1,231,"mca_1_l_d2o",112303.146727577,"1",5,"l","d2o"
189,56,"mca_1_l_d2o",432277.474128024,"1",5,"l","d2o"
189.1,779,"mca_1_l_d2o",195051.42817383,"1",5,"l","d2o"
190.1,73,"mca_1_l_d2o",79589.1488384688,"1",5,"l","d2o"
190.1,1073,"mca_1_l_d2o",57114.986416479,"1",5,"l","d2o"
191.1,1174,"mca_1_l_d2o",927645.012530053,"1",5,"l","d2o"
191.1,49,"mca_1_l_d2o",17931.9687239844,"1",5,"l","d2o"
191.1,1436,"mca_1_l_d2o",112864.912643228,"1",5,"l","d2o"
191.1,697,"mca_1_l_d2o",109842.48215538,"1",5,"l","d2o"
192.1,78,"mca_1_l_d2o",907761.757738038,"1",5,"l","d2o"
193,137,"mca_1_l_d2o",198700.803953993,"1",5,"l","d2o"
193.2,1491,"mca_1_l_d2o",139835.358283007,"1",5,"l","d2o"
193.2,1241,"mca_1_l_d2o",390424.683879745,"1",5,"l","d2o"
193.1,908,"mca_1_l_d2o",437490.747484974,"1",5,"l","d2o"
193.1,701,"mca_1_l_d2o",332622.555216347,"1",5,"l","d2o"
193.1,85,"mca_1_l_d2o",257996.408620312,"1",5,"l","d2o"
194.1,71,"mca_1_l_d2o",363424.318355035,"1",5,"l","d2o"
194.2,1241,"mca_1_l_d2o",68419.5307041716,"1",5,"l","d2o"
195.1,2060,"mca_1_l_d2o",684929.71141661,"1",5,"l","d2o"
195.1,779,"mca_1_l_d2o",87657.8513247073,"1",5,"l","d2o"
