"mz","rt","sample_name","day","organ","feed","into_norm","metabolite","ion"
316.2,746,"mca_13_l_h2o",15,"l","h2o",93711.6679066862,"hydroxy-methylcoclaurine","M0"
316.2,746,"mca_13_p_d2o",15,"p","d2o",12183.03933916,"hydroxy-methylcoclaurine","M0"
316.2,746,"mca_13_p_h2o",15,"p","h2o",268778.235249717,"hydroxy-methylcoclaurine","M0"
316.2,746,"mca_3_l_d2o",10,"l","d2o",1260448.92125512,"hydroxy-methylcoclaurine","M0"
316.2,746,"mca_3_l_h2o",10,"l","h2o",640199.918772478,"hydroxy-methylcoclaurine","M0"
316.2,746,"mca_3_p_d2o",10,"p","d2o",172723.3523934,"hydroxy-methylcoclaurine","M0"
316.2,746,"mca_3_p_h2o",10,"p","h2o",114308.31927109,"hydroxy-methylcoclaurine","M0"
330.2,353,"mca_1_l_d2o",5,"l","d2o",203976.672263,"reticuline","M0"
330.2,353,"mca_1_l_h2o",5,"l","h2o",123838.951861323,"reticuline","M0"
330.2,353,"mca_1_p_d2o",5,"p","d2o",949436.035214135,"reticuline","M0"
330.2,353,"mca_1_p_h2o",5,"p","h2o",1089958.64978629,"reticuline","M0"
330.2,353,"mca_12_l_d2o",0,"l","d2o",16352.9823520742,"reticuline","M0"
330.2,353,"mca_12_l_h2o",0,"l","h2o",10870.099922168,"reticuline","M0"
330.2,353,"mca_12_p_d2o",0,"p","d2o",184100.849002751,"reticuline","M0"
330.2,353,"mca_12_p_h2o",0,"p","h2o",997704.293269628,"reticuline","M0"
330.2,353,"mca_13_l_d2o",15,"l","d2o",225451691.740721,"reticuline","M0"
330.2,353,"mca_13_l_h2o",15,"l","h2o",271283066.483634,"reticuline","M0"
330.2,353,"mca_13_p_d2o",15,"p","d2o",9916223.31687048,"reticuline","M0"
330.2,353,"mca_13_p_h2o",15,"p","h2o",206385704.939024,"reticuline","M0"
330.2,353,"mca_3_l_d2o",10,"l","d2o",244404616.176142,"reticuline","M0"
330.2,353,"mca_3_l_h2o",10,"l","h2o",231637733.737073,"reticuline","M0"
330.2,353,"mca_3_p_d2o",10,"p","d2o",26498905.2101074,"reticuline","M0"
330.2,353,"mca_3_p_h2o",10,"p","h2o",24806679.2371226,"reticuline","M0"
398.1,316,"mca_1_l_d2o",5,"l","d2o",229776420.474684,"acutumine","M0"
398.1,316,"mca_1_l_h2o",5,"l","h2o",212755891.215636,"acutumine","M0"
398.1,316,"mca_1_p_d2o",5,"p","d2o",18113921.4798389,"acutumine","M0"
398.1,316,"mca_1_p_h2o",5,"p","h2o",78735344.7971811,"acutumine","M0"
398.1,316,"mca_12_l_d2o",0,"l","d2o",144223545.410591,"acutumine","M0"
398.1,316,"mca_12_l_h2o",0,"l","h2o",135387644.856344,"acutumine","M0"
398.1,316,"mca_12_p_d2o",0,"p","d2o",203506327.075098,"acutumine","M0"
398.1,316,"mca_12_p_h2o",0,"p","h2o",150480089.376168,"acutumine","M0"
398.1,316,"mca_13_l_d2o",15,"l","d2o",175533421.315456,"acutumine","M0"
