"mz","rt","sample_name","day","organ","feed","into_norm"
81.1,2503,"mca_1_l_h2o",5,"l","h2o",44998.37740429
81.1,2503,"mca_1_p_d2o",5,"p","d2o",22618.9564871493
81.1,2503,"mca_1_p_h2o",5,"p","h2o",21942.086592876
81.1,2503,"mca_12_l_d2o",0,"l","d2o",41864.4366946743
81.1,2503,"mca_12_l_h2o",0,"l","h2o",44384.4649649082
81.1,2503,"mca_12_p_d2o",0,"p","d2o",57742.1039388897
81.1,2503,"mca_12_p_h2o",0,"p","h2o",65444.3558680811
81.1,2503,"mca_13_l_d2o",15,"l","d2o",28490.6838036956
81.1,2503,"mca_13_l_h2o",15,"l","h2o",21294.8006274553
81.1,2503,"mca_13_p_d2o",15,"p","d2o",41414.4354892844
81.1,2503,"mca_13_p_h2o",15,"p","h2o",27139.2191944603
81.1,2503,"mca_3_l_d2o",10,"l","d2o",25828.7165669158
81.1,2503,"mca_3_l_h2o",10,"l","h2o",19204.4640094325
81.1,2503,"mca_3_p_d2o",10,"p","d2o",20919.2056857146
81.1,2503,"mca_3_p_h2o",10,"p","h2o",18776.9482166069
83.1,2503,"mca_1_l_d2o",5,"l","d2o",44471.8050959118
83.1,2503,"mca_1_l_h2o",5,"l","h2o",60614.8403046211
83.1,2503,"mca_1_p_d2o",5,"p","d2o",40045.1684103396
83.1,2503,"mca_1_p_h2o",5,"p","h2o",46204.2405742969
83.1,2503,"mca_12_l_d2o",0,"l","d2o",59138.0778062595
83.1,2503,"mca_12_l_h2o",0,"l","h2o",70256.5656593978
83.1,2503,"mca_12_p_d2o",0,"p","d2o",84312.5731628636
83.1,2503,"mca_12_p_h2o",0,"p","h2o",96238.5160591389
83.1,2503,"mca_13_l_d2o",15,"l","d2o",53257.2990018394
83.1,2503,"mca_13_l_h2o",15,"l","h2o",38309.012182295
83.1,2503,"mca_13_p_d2o",15,"p","d2o",61503.8300100462
83.1,2503,"mca_13_p_h2o",15,"p","h2o",40423.4980177256
83.1,2503,"mca_3_l_d2o",10,"l","d2o",42088.4558787255
83.1,2503,"mca_3_l_h2o",10,"l","h2o",33222.8475257718
83.1,2503,"mca_3_p_d2o",10,"p","d2o",32240.0991135122
83.1,2503,"mca_3_p_h2o",10,"p","h2o",26291.6317217222
84.1,39,"mca_1_l_d2o",5,"l","d2o",429381.893566424
84.1,39,"mca_1_l_h2o",5,"l","h2o",478698.2976398
84.1,39,"mca_1_p_d2o",5,"p","d2o",101027.309502827
84.1,39,"mca_1_p_h2o",5,"p","h2o",1316752.17007815
84.1,39,"mca_12_l_d2o",0,"l","d2o",477518.755788547
84.1,39,"mca_12_l_h2o",0,"l","h2o",494803.149330774
84.1,39,"mca_12_p_d2o",0,"p","d2o",267658.579553753
84.1,39,"mca_12_p_h2o",0,"p","h2o",394118.942131648
84.1,39,"mca_13_l_d2o",15,"l","d2o",230182.97598999
84.1,39,"mca_13_l_h2o",15,"l","h2o",542629.080062248
84.1,39,"mca_13_p_d2o",15,"p","d2o",98528.3062764781
84.1,39,"mca_13_p_h2o",15,"p","h2o",1343035.2878896
84.1,39,"mca_3_l_d2o",10,"l","d2o",295085.421339241
84.1,39,"mca_3_l_h2o",10,"l","h2o",548089.542803128
84.1,39,"mca_3_p_d2o",10,"p","d2o",97239.8840158938
84.1,39,"mca_3_p_h2o",10,"p","h2o",713556.855763078
85,36,"mca_1_l_d2o",5,"l","d2o",653682.463419601
85,36,"mca_1_l_h2o",5,"l","h2o",610199.824207677
85,36,"mca_1_p_d2o",5,"p","d2o",26862.9428070454
85,36,"mca_1_p_h2o",5,"p","h2o",24359.5967769633
85,36,"mca_12_l_d2o",0,"l","d2o",3145783.50012739
85,36,"mca_12_l_h2o",0,"l","h2o",2380117.14629299
85,36,"mca_12_p_d2o",0,"p","d2o",660888.418765143
85,36,"mca_12_p_h2o",0,"p","h2o",773863.553732718
85,36,"mca_13_l_d2o",15,"l","d2o",498988.483543383
85,36,"mca_13_l_h2o",15,"l","h2o",278712.059121679
85,36,"mca_13_p_d2o",15,"p","d2o",570636.679363839
85,36,"mca_13_p_h2o",15,"p","h2o",217551.669060058
85,36,"mca_3_l_d2o",10,"l","d2o",272899.993445354
85,36,"mca_3_l_h2o",10,"l","h2o",380969.492198976
85,36,"mca_3_p_d2o",10,"p","d2o",42769.8863464965
85,36,"mca_3_p_h2o",10,"p","h2o",16506.0875289152
85,2790,"mca_1_l_d2o",5,"l","d2o",531320.77976031
85,2790,"mca_1_l_h2o",5,"l","h2o",607357.351051721
85,2790,"mca_1_p_d2o",5,"p","d2o",518651.811475337
85,2790,"mca_1_p_h2o",5,"p","h2o",542903.913168922
85,2790,"mca_12_l_d2o",0,"l","d2o",2635841.46732393
85,2790,"mca_12_l_h2o",0,"l","h2o",2863435.60061759
85,2790,"mca_12_p_d2o",0,"p","d2o",2621923.55322337
85,2790,"mca_12_p_h2o",0,"p","h2o",3519029.14128717
85,2790,"mca_13_l_d2o",15,"l","d2o",633324.853164451
85,2790,"mca_13_l_h2o",15,"l","h2o",391825.985336015
85,2790,"mca_13_p_d2o",15,"p","d2o",872736.218110776
85,2790,"mca_13_p_h2o",15,"p","h2o",385583.408203126
85,2790,"mca_3_l_d2o",10,"l","d2o",394443.504342967
85,2790,"mca_3_l_h2o",10,"l","h2o",292190.172216337
85,2790,"mca_3_p_d2o",10,"p","d2o",1355337.95443157
85,2790,"mca_3_p_h2o",10,"p","h2o",424828.559020497
86.1,63,"mca_1_l_d2o",5,"l","d2o",281362.614843751
86.1,63,"mca_1_l_h2o",5,"l","h2o",374585.454800515
86.1,63,"mca_1_p_d2o",5,"p","d2o",17670.0711041622
86.1,63,"mca_1_p_h2o",5,"p","h2o",304427.427027554
86.1,63,"mca_12_l_d2o",0,"l","d2o",121390.387041016
86.1,63,"mca_12_l_h2o",0,"l","h2o",133767.322799315
86.1,63,"mca_12_p_d2o",0,"p","d2o",133973.502199919
86.1,63,"mca_12_p_h2o",0,"p","h2o",276499.699888245
86.1,63,"mca_13_l_d2o",15,"l","d2o",183060.926571014
86.1,63,"mca_13_l_h2o",15,"l","h2o",107959.076210131
86.1,63,"mca_13_p_d2o",15,"p","d2o",19823.4521741463
86.1,63,"mca_13_p_h2o",15,"p","h2o",588223.212140986
86.1,63,"mca_3_l_d2o",10,"l","d2o",209506.147827421
86.1,63,"mca_3_l_h2o",10,"l","h2o",282589.743872873
86.1,63,"mca_3_p_d2o",10,"p","d2o",36351.0286685422
86.1,63,"mca_3_p_h2o",10,"p","h2o",231902.950637188
87,38,"mca_1_l_d2o",5,"l","d2o",240749.322751006
87,38,"mca_1_l_h2o",5,"l","h2o",94610.0918237067
87,38,"mca_1_p_d2o",5,"p","d2o",96522.3381210861
87,38,"mca_1_p_h2o",5,"p","h2o",268305.529683971
87,38,"mca_12_l_d2o",0,"l","d2o",472516.833503495
87,38,"mca_12_l_h2o",0,"l","h2o",392084.566273169
87,38,"mca_12_p_d2o",0,"p","d2o",227914.999454516
87,38,"mca_12_p_h2o",0,"p","h2o",431370.961849404
87,38,"mca_13_l_d2o",15,"l","d2o",278569.794810106
87,38,"mca_13_l_h2o",15,"l","h2o",121978.790240079
87,38,"mca_13_p_d2o",15,"p","d2o",198652.969454437
87,38,"mca_13_p_h2o",15,"p","h2o",582368.131872029
87,38,"mca_3_l_d2o",10,"l","d2o",127545.816123332
87,38,"mca_3_l_h2o",10,"l","h2o",61358.4661328444
87,38,"mca_3_p_d2o",10,"p","d2o",97918.032311848
87,38,"mca_3_p_h2o",10,"p","h2o",227914.750219365
88,47,"mca_1_l_d2o",5,"l","d2o",54968.6615500149
88,47,"mca_1_l_h2o",5,"l","h2o",48376.3744432511
88,47,"mca_1_p_d2o",5,"p","d2o",4472.57149476293
88,47,"mca_1_p_h2o",5,"p","h2o",48072.1030158144
88,47,"mca_12_l_d2o",0,"l","d2o",173783.021552193
88,47,"mca_12_l_h2o",0,"l","h2o",198449.902348956
88,47,"mca_12_p_d2o",0,"p","d2o",37732.0985885217
88,47,"mca_12_p_h2o",0,"p","h2o",120601.853038285
88,47,"mca_13_l_d2o",15,"l","d2o",104168.114743773
88,47,"mca_13_l_h2o",15,"l","h2o",37976.949526403
88,47,"mca_13_p_d2o",15,"p","d2o",6367.7701962032
88,47,"mca_13_p_h2o",15,"p","h2o",89177.3285020679
88,47,"mca_3_l_d2o",10,"l","d2o",17416.6303501744
88,47,"mca_3_l_h2o",10,"l","h2o",1062.86737985709
88,47,"mca_3_p_d2o",10,"p","d2o",52884.2292747974
88,47,"mca_3_p_h2o",10,"p","h2o",39389.0055108904
89,56,"mca_1_l_d2o",5,"l","d2o",101163.945626721
89,56,"mca_1_l_h2o",5,"l","h2o",186210.878992924
89,56,"mca_1_p_d2o",5,"p","d2o",73591.8398532216
89,56,"mca_1_p_h2o",5,"p","h2o",23501.5494068263
89,56,"mca_12_l_d2o",0,"l","d2o",79616.4105920629
89,56,"mca_12_l_h2o",0,"l","h2o",131673.871797541
89,56,"mca_12_p_d2o",0,"p","d2o",123193.243347288
89,56,"mca_12_p_h2o",0,"p","h2o",311998.827606327
89,56,"mca_13_l_d2o",15,"l","d2o",58499.3468982113
89,56,"mca_13_l_h2o",15,"l","h2o",13316.3071645661
89,56,"mca_13_p_d2o",15,"p","d2o",15089.4857882199
89,56,"mca_13_p_h2o",15,"p","h2o",974.240612390994
89,56,"mca_3_l_d2o",10,"l","d2o",29677.3499944869
89,56,"mca_3_l_h2o",10,"l","h2o",33326.5405624093
89,56,"mca_3_p_d2o",10,"p","d2o",150013.393154689
89,56,"mca_3_p_h2o",10,"p","h2o",4826.09932180862
