"metabolite","mean","sd"
"acutumidine",52489312.5190037,14313271.8997229
"acutumine",273994053.000538,90074948.6224643
"coclaurine",36991235.495848,21058937.9736804
"methylcoclaurine",2292506.66023741,2140264.83908116
"norcoclaurine",7186792.30692173,4454180.88990127
"reticuline",197949707.356097,154171013.268403
